Years,Australia,Russia,Germany,France,UK
1950,8045570,101438000,68376000,41647258,50489500
1951,8307481,102945000,68696100,42010088,50453000
1952,8527907,104587000,69076000,42300981,50360000
1953,8739569,106715000,69351900,42618354,50511500
1954,8902686,108430000,69751600,42885138,50679000
1955,9089936,110537000,70128800,43227872,50855500
1956,9311825,112266000,70530300,43627467,51065000
1957,9530871,114017000,70922800,44058683,51307000
1958,9744087,115665000,71404800,44563043,51541000
1959,9947358,117534300,71918000,45014662,51804000
1960,10160968,119045800,72542990,45464797,52200000
1961,10391920,120765599,73086809,45903656,52600000
1962,10642654,122406795,73668454,46422000,53000000
1963,10846059,123848406,74383113,47573406,53500000
1964,11055482,125179206,75045592,48059029,53800000
1965,11280429,126309100,75591082,48561800,54200000
1966,11505408,127189098,76336308,48953792,54496100
1967,11704843,128026196,76864314,49373537,54800900
1968,11912253,128695994,77038358,49723072,55086300
1969,12145582,129378809,77550269,50107735,55337100
1970,12407217,129941200,78269095,50528219,55546400
1971,12663469,130563363,78069482,51016234,55780100
1972,13198380,131304497,78556202,51485953,56012345
1973,13409288,132069024,78820701,51915873,56159785
1974,13614344,132799355,79052630,52320725,56229268
1975,13831978,133633900,78882235,52600000,56230680
1976,13968881,134549101,78464873,52798338,56220920
1977,14110107,135503754,78209026,53019005,56203016
1978,14281533,136455076,78110602,53271566,56183968
1979,14430830,137409900,78073038,53481073,56209039
1980,14602481,138126600,78179662,53731387,56284863
1981,14807370,138839197,78397490,54028630,56343569
1982,15054117,139603792,78418324,54335000,56324088
1983,15288891,140529786,78248407,54649984,56303194
1984,15483496,141582615,78008156,54894854,56362502
1985,15677282,142539000,77709213,55157303,56481641
1986,15900566,143527861,77660533,55411238,56618895
1987,16138769,144783723,77780338,55681780,56743897
1988,16394641,145988334,77899502,55966142,56860203
1989,16687082,147021900,78389735,56269810,56996450
1990,16936723,147665081,79112831,56577000,57156972
1991,17169768,148273746,79753227,58313439,57338199
1992,17387023,148514692,80274564,58604851,57511594
1993,17581284,148561694,80974632,58885929,57649210
1994,17759999,148355867,81338093,59104320,57788017
1995,17951481,148459937,81538603,59315139,57943472
1996,18196054,148291638,81817499,59522297,58094587
1997,18420320,148028613,82012162,59726386,58239312
1998,18609115,147802133,82057379,59934884,58394596
1999,18814276,147539426,82037011,60158533,58579685
2000,19038338,146890128,82163475,60545022,58785246
2001,19272644,146303611,82259540,60979315,58999781
2002,19533972,145649334,82440309,61424036,59239564
2003,19770963,144963600,82536680,61864088,59501394
2004,20011882,144168200,82531671,62292241,59793759
2005,20252132,143801000,82500849,62772870,60182050
2006,20544064,143236600,82437995,63229635,60620361
2007,20873700,142862700,82314906,63645065,61073279
2008,21263300,142747500,82217837,64007193,61571647
2009,21730600,142737200,82002356,64350226,62042343
2010,22151900,142833500,81802257,64658856,62510197
2011,22477400,142865400,81751602,64978721,63022532
2012,22485300,143056400,80327900,65276983,63495303
2013,22982849,143347100,80523746,65600350,63905297
2014,23246692,143700000,80767463,65889148,64351155
2015,23513564,146267288,81197537,66415161,64875165
